hospital,hospitalName,service
_:genid-522837f0d63f4117b5ebbda14b94447516436-D85F9D1AAE667D3171C8073A7750F0D5,OSPEDALE DI TRENTO,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447516436-43238DF9DE08417B299913D65ED5E66E,PRESIDIO OSPEDALIERO DI BORGO VALSUGANA,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447516436-F863D734B2E21DFEDCD6F47595712E8A,PRESIDIO OSPEDALIERO DI CLES,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447516436-93F67144F0691AD253B45DEAAB493D2E,OSPEDALE DI ROVERETO,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447516436-AE8A84B5F916A0FF19C1F776BD1499C6,PRESIDIO OSPEDALIERO DI TIONE,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447516436-163B9CE7371D18ABDCDB7897F7F06830,PRESIDIO OSPEDALIERO DI ARCO,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447516436-36DE54668169BE67718254013E58AA69,PRESIDIO OSPEDALIERO DI CAVALESE,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447516436-66555D777DB32D6A6E59D52F26CE3AAC,OSPEDALE SAN CAMILLO,"OSPEDALE CLASSIFICATO O ASSIMILATO AI SENSI DELL`ART.1, ULTIMO COMMA, DELLA LEGGE 132/1968"
_:genid-522837f0d63f4117b5ebbda14b94447516436-60D99E8AF69155CF341D5D78E3EB5842,IST.RIAB.S.STEFANO-U.O. OSP. S.PANCRAZIO,CASA DI CURA PRIVATA
_:genid-522837f0d63f4117b5ebbda14b94447516436-121A0081943FCBBABAADE21D01CDD188,CASA DI CURA EREMO DI ARCO SRL,CASA DI CURA PRIVATA
_:genid-522837f0d63f4117b5ebbda14b94447516436-E149D1E0C9410D69A10E7A040A155BAC,CASA DI CURA REGINA,CASA DI CURA PRIVATA
_:genid-522837f0d63f4117b5ebbda14b94447516436-890498D1CF7BFAA76C3152D8823A1B16,CASA DI CURA SOLATRIX,CASA DI CURA PRIVATA
_:genid-522837f0d63f4117b5ebbda14b94447516436-789FFA2550EC33285415034FDDD52ED1,CASA DI CURA VILLA BIANCA,CASA DI CURA PRIVATA
_:genid-522837f0d63f4117b5ebbda14b94447527305-E2107D31C31E333D74039EF9188F7950,OSPEDALE DI TRENTO,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447527305-9D5E20FD9BBB0EFCBA2D008E05EC73A6,PRESIDIO OSPEDALIERO DI BORGO VALSUGANA,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447527305-2A6FDE0BEDB98E0854ADE3AA40DD92B0,PRESIDIO OSPEDALIERO DI CLES,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447527305-680221325745494CE5E5EBFCBCDAA0CF,OSPEDALE DI ROVERETO,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447527305-AC755B3710E0B2E32C03AB7134590A39,PRESIDIO OSPEDALIERO DI TIONE,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447527305-2F848050188076B7A89C60647E3E9D45,PRESIDIO OSPEDALIERO DI ARCO,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447527305-3A9289275F423F113DE7F2E2130D9F56,PRESIDIO OSPEDALIERO DI CAVALESE,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447527305-0DB505826FB9BB2BB5DCE6F575FE0F40,OSPEDALE SAN CAMILLO,"OSPEDALE CLASSIFICATO O ASSIMILATO AI SENSI DELL`ART.1, ULTIMO COMMA, DELLA LEGGE 132/1968"
_:genid-522837f0d63f4117b5ebbda14b94447527305-8552FB1342A3652EEF455D0A67EC1ADB,IST.RIAB.S.STEFANO-U.O. OSP. S.PANCRAZIO,CASA DI CURA PRIVATA
_:genid-522837f0d63f4117b5ebbda14b94447527305-07B937A56A277768AE4A7D7E77A9CD05,CASA DI CURA EREMO DI ARCO SRL,CASA DI CURA PRIVATA
_:genid-522837f0d63f4117b5ebbda14b94447527305-C6C804773CDE832AD1DF33519FE9C06E,CASA DI CURA REGINA,CASA DI CURA PRIVATA
_:genid-522837f0d63f4117b5ebbda14b94447527305-F8CC66726D1851C304700D99E9E2CDCE,CASA DI CURA SOLATRIX,CASA DI CURA PRIVATA
_:genid-522837f0d63f4117b5ebbda14b94447527305-3AB6073AE3D6393527390700F20B1044,CASA DI CURA VILLA BIANCA,CASA DI CURA PRIVATA
_:genid-522837f0d63f4117b5ebbda14b94447533365-E2107D31C31E333D74039EF9188F7950,OSPEDALE DI TRENTO,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447533365-9D5E20FD9BBB0EFCBA2D008E05EC73A6,PRESIDIO OSPEDALIERO DI BORGO VALSUGANA,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447533365-2A6FDE0BEDB98E0854ADE3AA40DD92B0,PRESIDIO OSPEDALIERO DI CLES,OSPEDALE A GESTIONE DIRETTA
_:genid-522837f0d63f4117b5ebbda14b94447533365-680221325745494CE5E5EBFCBCDAA0CF,OSPEDALE DI ROVERETO,OSPEDALE A GESTIONE DIRETTA
