facility,service,lat,long
_:genid-522837f0d63f4117b5ebbda14b94447527290-C55E566C5380A640A7E04C58E04DE50D,ATTIVITA` CLINICA,46.2884,11.4551
_:genid-522837f0d63f4117b5ebbda14b94447527290-05E2CC1212B4C752DFE32C2CB79E56E3,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,46.2884,11.4551
_:genid-522837f0d63f4117b5ebbda14b94447527290-0C9D800A4D1BDFDDD4E426BCFD46A9D8,ATTIVITA` DI LABORATORIO,46.2884,11.4551
_:genid-522837f0d63f4117b5ebbda14b94447527290-2A58B8F986AC7BF57A39183752B1FC27,ASSISTENZA PSICHIATRICA,46.29017,11.463946
_:genid-522837f0d63f4117b5ebbda14b94447527290-9C8EC4ADD54996050C8E1F17CC61A9CF,ATTIVITA` CLINICA,46.2884,11.4551
_:genid-522837f0d63f4117b5ebbda14b94447527290-BCC8A89DD9F1B922E10FA6D89664DAAE,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,46.29017,11.463946
_:genid-522837f0d63f4117b5ebbda14b94447527290-69036543D386F47E42F1F2B552F834A3,ASSISTENZA AGLI ANZIANI,46.28919,11.510085
_:genid-522837f0d63f4117b5ebbda14b94447527290-B7B28C9B79C9482DD102B60B8CE59A89,ASSISTENZA AI DISABILI PSICHICI,46.293533,11.417995
_:genid-522837f0d63f4117b5ebbda14b94447527305-3A9289275F423F113DE7F2E2130D9F56,OSPEDALE A GESTIONE DIRETTA,46.2884,11.4551
_:genid-522837f0d63f4117b5ebbda14b94447533338-C55E566C5380A640A7E04C58E04DE50D,ATTIVITA` CLINICA,46.2884,11.4551
_:genid-522837f0d63f4117b5ebbda14b94447533338-05E2CC1212B4C752DFE32C2CB79E56E3,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,46.2884,11.4551
_:genid-522837f0d63f4117b5ebbda14b94447533338-0C9D800A4D1BDFDDD4E426BCFD46A9D8,ATTIVITA` DI LABORATORIO,46.2884,11.4551
_:genid-522837f0d63f4117b5ebbda14b94447533338-2A58B8F986AC7BF57A39183752B1FC27,ASSISTENZA PSICHIATRICA,46.29017,11.463946
_:genid-522837f0d63f4117b5ebbda14b94447533338-9C8EC4ADD54996050C8E1F17CC61A9CF,ATTIVITA` CLINICA,46.2884,11.4551
_:genid-522837f0d63f4117b5ebbda14b94447533338-BCC8A89DD9F1B922E10FA6D89664DAAE,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,46.29017,11.463946
_:genid-522837f0d63f4117b5ebbda14b94447533338-69036543D386F47E42F1F2B552F834A3,ASSISTENZA AGLI ANZIANI,46.28919,11.510085
_:genid-522837f0d63f4117b5ebbda14b94447533338-B7B28C9B79C9482DD102B60B8CE59A89,ASSISTENZA AI DISABILI PSICHICI,46.293533,11.417995
_:genid-522837f0d63f4117b5ebbda14b94447533365-3A9289275F423F113DE7F2E2130D9F56,OSPEDALE A GESTIONE DIRETTA,46.2884,11.4551
