COD_OSP_OD,COD_OSP,COD_REGIONE,COD_ASL,OSPEDALE,COD_COMUNE,COMUNE,INDIRIZZO,CAP,TELEFONO,COD_TIPO_OSP,TIPO_OSP,PARTITA_IVA,FAX,SITO_WEB,E_MAIL,LATITUDINE_P,LONGITUDINE_P,LATITUDINE_V,LONGITUDINE_V
OSP042101042001,42001,42,101,OSPEDALE DI TRENTO,22205,TRENTO,"LARGO MEDAGLIE D ORO, 9",38122,461903015,1,OSPEDALE A GESTIONE DIRETTA,1429410226,461903574,www.apss.tn.it,mario.grattarola@apss.tn.it,46.056,11.134,46.056,11.134
OSP042101042004,42004,42,101,PRESIDIO OSPEDALIERO DI BORGO VALSUGANA,22022,BORGO VALSUGANA,VIALE VICENZA 9,38051,461755210,1,OSPEDALE A GESTIONE DIRETTA,1429410226,461755104,www.apss.tn.it,pierantonio.scappini@apss.tn.it,46.0568,11.4646,46.0568,11.4646
OSP042101042005,42005,42,101,PRESIDIO OSPEDALIERO DI CLES,22062,CLES,"VIALE DEGASPERI, 31",38023,463660226,1,OSPEDALE A GESTIONE DIRETTA,1429410226,463660226,www.apss.tn.it,fernando.ianeselli@apss.tn.it,46.3608,11.0323,46.3608,11.0323
OSP042101042006,42006,42,101,OSPEDALE DI ROVERETO,22161,ROVERETO,"CORSO VERONA, 4",38068,464403208,1,OSPEDALE A GESTIONE DIRETTA,1429410226,464403309,www.apss.tn.it,luca.fabbri@apss.tn.it,45.8818,11.0407,45.8818,11.0407
OSP042101042007,42007,42,101,PRESIDIO OSPEDALIERO DI TIONE,22199,TIONE DI TRENTO,"VIA OSPEDALE, 11",38079,465331256,1,OSPEDALE A GESTIONE DIRETTA,1429410226,465331254,www.apss.tn.it,egidio.dipede@apss.tn.it,46.0413,10.7244,46.0413,10.7244
OSP042101042010,42010,42,101,PRESIDIO OSPEDALIERO DI ARCO,22006,ARCO,"VIA CAPITELLI, 48",38062,464582484,1,OSPEDALE A GESTIONE DIRETTA,1429410226,464582488,www.apss.tn.it,luca.fabbri@apss.tn.it,45.9192,10.8741,45.9192,10.8741
OSP042101042014,42014,42,101,PRESIDIO OSPEDALIERO DI CAVALESE,22050,CAVALESE,VIA DOSSI 21,38033,462242212,1,OSPEDALE A GESTIONE DIRETTA,1429410226,462242115,www.apss.tn.it,pierantonio.scappini@apss.tn.it,46.2884,11.4551,46.2884,11.4551
OSP042101042015,42015,42,101,OSPEDALE SAN CAMILLO,22205,TRENTO,VIA PODESTA GIOVANELLI 19,38122,461216111,4,"OSPEDALE CLASSIFICATO O ASSIMILATO AI SENSI DELL`ART.1, ULTIMO COMMA, DELLA LEGGE 132/1968",1008231001,461230334,www.sancamillo.com,direzione.tn@figliesancamillo.it,46.065474,11.131722,46.065474,11.131722
OSP042101042016,42016,42,101,IST.RIAB.S.STEFANO-U.O. OSP. S.PANCRAZIO,22006,ARCO,"VIA D.CHIESA ,2",38062,464586200,5,CASA DI CURA PRIVATA,1148190547,464586298,www.ospedalesanpancrazio.it,info@ospedalesanpancrazio.it,45.921304,10.882587,45.921304,10.882587
OSP042101042018,42018,42,101,CASA DI CURA EREMO DI ARCO SRL,22006,ARCO,"VIA XXI APRILE, 1",38062,464588400,5,CASA DI CURA PRIVATA,681710224,464588668,www.eremoarco.it,info@eremoarco.it,45.919481,10.870444,45.919481,10.870444
OSP042101042019,42019,42,101,CASA DI CURA REGINA,22006,ARCO,"VIA POMERIO, 3",38062,464517525,5,CASA DI CURA PRIVATA,321890220,464519372,www.reginaarco.it,info@reginaarco.it,45.916767,10.886541,45.916767,10.886541
OSP042101042020,42020,42,101,CASA DI CURA SOLATRIX,22161,ROVERETO,VIA BELLINI 11,38068,464491111,5,CASA DI CURA PRIVATA,311150221,464491345,www.casadicurasolatrix.it,amministrazione@casadicurasolatrix.it,45.898984,11.045548,45.898984,11.045548
OSP042101042022,42022,42,101,CASA DI CURA VILLA BIANCA,22205,TRENTO,VIA PIAVE 78,38122,461916000,5,CASA DI CURA PRIVATA,123990228,461916874, , ,46.063077,11.126697,46.063077,11.126697
