COD_TIPO_RAPPORTO,TIPO_RAPPORTO,COD_PRESTAZIONE,DESC_PRESTAZIONE,ANNO,NUMERO
1,STRUTTURA DIRETTAMENTE GESTITA,0000,ALTRO  0000,2017,32
1,STRUTTURA DIRETTAMENTE GESTITA,015501,ALTRO  015501,2017,4
1,STRUTTURA DIRETTAMENTE GESTITA,015503,ALTRO  015503,2017,5
1,STRUTTURA DIRETTAMENTE GESTITA,015505,ALTRO  015505,2017,379
1,STRUTTURA DIRETTAMENTE GESTITA,015507,ALTRO  015507,2017,22
1,STRUTTURA DIRETTAMENTE GESTITA,022001,ALTRO  022001,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,0321,CORDOTOMIA CERVICALE PERCUTANEA,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,035,PROMTEST: TEST PER LA ROTTURA PREMATURA DELLE MEMBRANE,2017,2
1,STRUTTURA DIRETTAMENTE GESTITA,0391,INIEZIONE DI ANESTETICO NEL CANALE VERTEBRALE PER ANALGESIA INIEZIONE PERIDURALE ESCLUSO: IL CASO IN,2017,77
1,STRUTTURA DIRETTAMENTE GESTITA,0392,INIEZIONE DI ALTRI FARMACI NEL CANALE VERTEBRALE INIEZIONE INTRATECALE [ENDORACHIDE] DI STEROIDI ESC,2017,149
1,STRUTTURA DIRETTAMENTE GESTITA,04071,"RESEZIONE O ASPORTAZIONE DEI NERVI PERIFERICI CURETTAGE, SBRIGLIAMENTO, RESEZIONE DI NERVO PERIFERIC",2017,17
1,STRUTTURA DIRETTAMENTE GESTITA,0443,LIBERAZIONE DEL TUNNEL CARPALE (INCLUSO ESAMI PRE-OPERATORI E CONTROLLI POST-OPERATORI),2017,697
1,STRUTTURA DIRETTAMENTE GESTITA,04811,INIEZIONE DI ANESTETICO IN NERVO PERIFERICO PER ANALGESIA BLOCCO DEL GANGLIO DI GASSER E DEI SUOI RA,2017,7
1,STRUTTURA DIRETTAMENTE GESTITA,04812,INIEZIONE DI ANESTETICO IN NERVO PERIFERICO PER ANALGESIA BLOCCO DEGLI INTERCOSTALI ESCLUSO: LE ANES,2017,12
1,STRUTTURA DIRETTAMENTE GESTITA,0531,INIEZIONE DI ANESTETICO NEI NERVI SIMPATICI PER ANALGESIA BLOCCO SIMPATICO REGIONALE ARTO SUPERIORE,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,0532,INIEZIONE DI AGENTI NEUROLITICI NEI NERVI SIMPATICI,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,06111,BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE BIOPSIA DI MATERIALE AGOASPIRATO DELLA TIROIDE,2017,213
1,STRUTTURA DIRETTAMENTE GESTITA,06112,BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE BIOPSIA ECO-GUIDATA DI MATERIALE AGOASPIRATO DELLA T,2017,388
1,STRUTTURA DIRETTAMENTE GESTITA,0801,INCISIONE DEL MARGINE PALPEBRALE INCLUSO: INCISIONE DI ASCESSO PALPEBRALE,2017,1
1,STRUTTURA DIRETTAMENTE GESTITA,0809,ALTRA INCISIONE DELLA PALBEBRA RIAPERTURA ANCHILOBLEFARON,2017,2
1,STRUTTURA DIRETTAMENTE GESTITA,0811,BIOPSIA DELLA PALPEBRA,2017,24
1,STRUTTURA DIRETTAMENTE GESTITA,0821,ASPORTAZIONE DI CALAZIO,2017,146
1,STRUTTURA DIRETTAMENTE GESTITA,0822,"ASPORTAZIONE DI ALTRA LESIONE MINORE DELLA PALPEBRA ASPORTAZIONE DI VERRUCA, PAPILLOMA, CISTI, PORRO",2017,43
1,STRUTTURA DIRETTAMENTE GESTITA,0823,"ASPORTAZIONE DI LESIONE MAGGIORE DELLA PALPEBRA, NON A TUTTO SPESSORE ASPORTAZIONE CHE INCLUDE UN QU",2017,51
1,STRUTTURA DIRETTAMENTE GESTITA,0824,"ASPORTAZIONE DI LESIONE MAGGIORE DELLA PALPEBRA, A TUTTO SPESSORE ASPORTAZIONE CHE INCLUDE UN QUARTO",2017,4
