COD_STRUTTURA_OD,COD_STRUTTURA,COD_REGIONE,COD_ASL,STRUTTURA,PARTITA_IVA,SITO_WEB,E_MAIL,COD_COMUNE,COMUNE,INDIRIZZO,CAP,TELEFONO,FAX,COD_TIPO_ASSISTENZA,ASSISTENZA,COD_TIPO_RAPPORTO,TIPO_RAPPORTO,TIPO_STRUTTURA,LATITUDINE_P,LONGITUDINE_P,LATITUDINE_V,LONGITUDINE_V
STR042101010101S01,10101,42,101,PRESIDIO OSPEDALIERO DI CAVALESE,1429410226.0,www.apss.tn.it,pierantonio.scappini@apss.tn.it,22050,CAVALESE,VIA DOSSI  17,38033,462341045,0462242114,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.2884,11.4551,46.2884,11.4551
STR042101010101S02,10101,42,101,PRESIDIO OSPEDALIERO DI CAVALESE,1429410226.0,www.apss.tn.it,pierantonio.scappini@apss.tn.it,22050,CAVALESE,VIA DOSSI  17,38033,462341045,0462242114,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.2884,11.4551,46.2884,11.4551
STR042101010101S03,10101,42,101,PRESIDIO OSPEDALIERO DI CAVALESE,1429410226.0,www.apss.tn.it,pierantonio.scappini@apss.tn.it,22050,CAVALESE,VIA DOSSI  17,38033,462341045,0462242114,S03,ATTIVITA` DI LABORATORIO,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.2884,11.4551,46.2884,11.4551
STR042101010102S05,10102,42,101,CENTRO SALUTE MENTALE CAVALESE,1429410226.0,www.apss.tn.it,psichiatriapergine@apss.tn.it,22050,CAVALESE,VIA ROMA  4,38033,462242364,0462242385,S05,ASSISTENZA PSICHIATRICA,1,STRUTTURA DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.29017,11.463946,46.29017,11.463946
STR042101010103S01,10103,42,101,CENTRO DIALISI CAVALESE,1429410226.0,www.apss.tn.it,Carlo.Rovati@apss.tn.it,22050,CAVALESE,VIA DOSSI  17,38033,462242109,0462242143,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.2884,11.4551,46.2884,11.4551
STR042101010105S04,10105,42,101,CONSULTORIO CAVALESE,1429410226.0, ,irene.decrestina@apss.tn.it,22050,CAVALESE,VIA ROMA  4,38033,462242360,0462242369,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,1,STRUTTURA DIRETTAMENTE GESTITA,ALTRO TIPO DI STRUTTURA TERRITORIALE,46.29017,11.463946,46.29017,11.463946
STR042101010401S09,10401,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA -  RSA PREDAZZO,1065140228.0,www.upipa.tn.it,upipa.predazzo@mail.infotn.it,22147,PREDAZZO,VIA E SOTTSASS  11,38037,462501235,0462502775,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.313561,11.601377,46.313561,11.601377
STR042101010501S01,10501,42,101,POLIAMBULATORIO DI PREDAZZO,1429410226.0,www.apss.tn.it, ,22147,PREDAZZO,VIA DEGASPERI  12,38037,462508800, ,S01,ATTIVITA` CLINICA,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.311858,11.599532,46.311858,11.599532
STR042101010501S02,10501,42,101,POLIAMBULATORIO DI PREDAZZO,1429410226.0,www.apss.tn.it, ,22147,PREDAZZO,VIA DEGASPERI  12,38037,462508800, ,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,1,STRUTTURA DIRETTAMENTE GESTITA,AMBULATORIO E LABORATORIO,46.311858,11.599532,46.311858,11.599532
STR042101010601S09,10601,42,101,AZIENDA PUBBLICA SERVIZI ALLA PERSONA - RSA TESERO,459310223.0,www.casadiriposogiovanelli.org,upipa.tesero@mail.infotn.it,22196,TESERO,VIA GIOVANELLI  12,38038,462813027,0462813027,S09,ASSISTENZA AGLI ANZIANI,2,STRUTTURA NON DIRETTAMENTE GESTITA,STRUTTURA RESIDENZIALE,46.28919,11.510085,46.28919,11.510085
